,Rooms,Price,Date,Distance
140,4,1950000.0,30/07/2016,6.4
141,3,520000.0,3/09/2016,13.8
142,5,1525000.0,3/12/2016,13.8
143,2,720000.0,4/02/2016,13.8
144,3,1120000.0,4/03/2017,13.8
145,4,780000.0,4/06/2016,13.8
146,4,1780000.0,4/06/2016,13.8
147,3,630000.0,6/08/2016,13.8
148,2,406000.0,6/08/2016,13.8
149,3,660000.0,7/05/2016,13.8
150,3,683500.0,7/11/2016,13.8
151,2,580000.0,8/10/2016,13.8
152,3,1335000.0,8/10/2016,13.8
153,3,800000.0,8/10/2016,13.8
154,2,510000.0,10/09/2016,13.8
155,4,1070000.0,10/09/2016,13.8
156,2,425000.0,10/09/2016,13.8
157,3,605000.0,10/12/2016,13.8
158,3,705000.0,11/02/2017,13.8
159,2,391000.0,11/02/2017,13.8
160,2,440000.0,11/02/2017,13.8
161,4,845000.0,11/02/2017,13.8
162,3,743000.0,12/11/2016,13.8
163,3,730000.0,13/08/2016,13.8
164,3,635000.0,14/05/2016,13.8
165,2,620000.0,14/05/2016,13.8
166,2,447000.0,15/10/2016,13.8
167,3,730000.0,16/04/2016,13.8
168,3,678000.0,16/04/2016,13.8
169,2,580000.0,16/07/2016,13.8
170,3,712000.0,17/09/2016,13.8
171,3,840000.0,18/03/2017,13.8
172,3,980000.0,19/11/2016,13.8
173,3,605100.0,22/05/2016,13.8
174,3,880000.0,22/08/2016,13.8
175,3,577000.0,23/04/2016,13.8
176,4,1030000.0,25/02/2017,13.8
177,3,605000.0,25/02/2017,13.8
178,3,753000.0,27/06/2016,13.8
179,2,857000.0,27/11/2016,13.8
180,3,1500000.0,28/05/2016,13.8
181,3,730000.0,28/05/2016,13.8
182,3,900000.0,28/05/2016,13.8
183,3,740000.0,28/08/2016,13.8
184,4,931000.0,28/08/2016,13.8
185,2,535600.0,30/07/2016,13.8
186,5,1085000.0,3/09/2016,11.1
187,3,781000.0,3/09/2016,11.1
188,3,750000.0,4/03/2017,11.1
189,2,421000.0,4/03/2017,11.1
190,3,1405000.0,4/03/2017,11.1
191,3,683000.0,4/06/2016,11.1
192,3,623000.0,4/06/2016,11.1
193,3,720000.0,6/08/2016,11.1
194,3,588000.0,7/05/2016,11.1
195,3,710000.0,7/11/2016,11.1
196,4,875000.0,8/10/2016,11.1
197,3,700000.0,10/12/2016,11.1
198,2,640000.0,11/03/2017,11.1
199,4,650000.0,12/06/2016,11.1
200,3,675000.0,14/05/2016,11.1
201,3,708000.0,15/10/2016,11.1
202,4,965000.0,15/10/2016,11.1
203,3,680000.0,19/11/2016,11.1
204,3,770000.0,19/11/2016,11.1
205,3,923000.0,22/05/2016,11.1
206,4,693000.0,22/05/2016,11.1
207,3,620000.0,22/08/2016,11.1
208,3,728500.0,22/08/2016,11.1
209,3,931000.0,22/08/2016,11.1
210,3,988000.0,22/08/2016,11.1
211,3,590000.0,23/04/2016,11.1
212,2,610000.0,24/09/2016,11.1
213,3,815000.0,25/02/2017,11.1
214,4,970000.0,25/02/2017,11.1
215,4,760000.0,27/06/2016,11.1
216,4,847500.0,27/06/2016,11.1
217,4,1200000.0,27/11/2016,11.1
218,3,700000.0,27/11/2016,11.1
219,3,625000.0,28/05/2016,11.1
220,2,292000.0,28/08/2016,11.1
221,2,599000.0,3/09/2016,6.3
222,2,550000.0,3/12/2016,6.3
223,3,995000.0,3/12/2016,6.3
224,3,1205000.0,3/12/2016,6.3
225,3,1939000.0,3/12/2016,6.3
226,1,421500.0,3/12/2016,6.3
227,3,1870000.0,4/03/2017,6.3
228,2,678000.0,4/03/2017,6.3
229,3,1918000.0,4/03/2017,6.3
230,2,660000.0,4/03/2017,6.3
231,3,2050000.0,4/03/2017,6.3
232,2,700000.0,4/06/2016,6.3
233,2,3625000.0,4/06/2016,6.3
234,4,3000000.0,4/06/2016,6.3
235,5,1525000.0,7/05/2016,6.3
236,3,735000.0,7/05/2016,6.3
237,2,825000.0,7/05/2016,6.3
238,3,1586000.0,7/05/2016,6.3
239,2,645000.0,8/10/2016,6.3
240,1,1435000.0,8/10/2016,6.3
241,1,280000.0,10/09/2016,6.3
242,1,400000.0,10/12/2016,6.3
243,2,1780000.0,10/12/2016,6.3
244,2,592500.0,10/12/2016,6.3
245,2,1210000.0,12/11/2016,6.3
246,4,2801000.0,12/11/2016,6.3
247,1,390000.0,14/05/2016,6.3
248,3,1800000.0,15/10/2016,6.3
249,4,2200000.0,15/10/2016,6.3
250,1,324000.0,16/04/2016,6.3
251,6,5525000.0,17/09/2016,6.3
252,2,1125000.0,17/09/2016,6.3
253,3,2250000.0,17/09/2016,6.3
254,3,2360000.0,18/03/2017,6.3
255,2,1900000.0,18/03/2017,6.3
256,1,440000.0,18/03/2017,6.3
257,2,490000.0,18/06/2016,6.3
258,3,2365000.0,18/06/2016,6.3
259,3,1300000.0,18/06/2016,6.3
260,3,732000.0,18/06/2016,6.3
261,2,704000.0,19/11/2016,6.3
262,2,620000.0,19/11/2016,6.3
263,3,1900000.0,22/05/2016,6.3
264,1,315000.0,22/08/2016,6.3
265,1,450000.0,24/09/2016,6.3
266,2,710000.0,25/02/2017,6.3
267,2,872000.0,25/02/2017,6.3
268,2,598000.0,25/02/2017,6.3
269,3,1285000.0,25/02/2017,6.3
270,4,3660000.0,25/02/2017,6.3
271,2,520000.0,27/06/2016,6.3
272,4,3625000.0,27/11/2016,6.3
273,4,4200000.0,27/11/2016,6.3
274,3,1101000.0,27/11/2016,6.3
275,3,3512500.0,27/11/2016,6.3
276,4,2000000.0,28/05/2016,6.3
277,3,869000.0,28/05/2016,6.3
278,5,2810000.0,28/08/2016,6.3
279,2,565000.0,28/08/2016,6.3
280,1,567000.0,28/08/2016,6.3
281,2,546000.0,30/07/2016,6.3
282,2,471500.0,30/07/2016,6.3
283,2,455000.0,3/09/2016,5.9
284,3,940000.0,3/12/2016,5.9
285,2,467000.0,3/12/2016,5.9
286,3,1380000.0,4/03/2017,5.9
287,2,490000.0,4/03/2017,5.9
288,4,1850000.0,4/03/2017,5.9
289,3,1284000.0,4/03/2017,5.9
290,3,971000.0,4/06/2016,5.9
291,2,710000.0,4/06/2016,5.9
292,6,2425000.0,4/06/2016,5.9
293,2,750000.0,4/06/2016,5.9
294,2,1053000.0,6/08/2016,5.9
295,3,1377000.0,6/08/2016,5.9
296,3,970000.0,7/05/2016,5.9
297,2,940000.0,7/05/2016,5.9
298,2,751000.0,7/05/2016,5.9
299,2,950000.0,7/05/2016,5.9
300,2,685000.0,7/11/2016,5.9
301,3,1230000.0,8/10/2016,5.9
302,2,636500.0,8/10/2016,5.9
303,3,910000.0,8/10/2016,5.9
304,2,770000.0,10/09/2016,5.9
305,3,960000.0,10/12/2016,5.9
306,4,890000.0,10/12/2016,5.9
307,2,965000.0,10/12/2016,5.9
308,3,1440000.0,11/02/2017,5.9
309,2,955000.0,11/03/2017,5.9
310,2,450000.0,12/11/2016,5.9
311,3,801000.0,12/11/2016,5.9
312,3,1000000.0,12/11/2016,5.9
313,3,1435000.0,12/11/2016,5.9
314,1,390000.0,12/11/2016,5.9
315,3,1425000.0,13/08/2016,5.9
316,4,1340000.0,14/05/2016,5.9
317,3,955000.0,14/05/2016,5.9
318,4,1100000.0,15/10/2016,5.9
319,3,1255000.0,15/10/2016,5.9
320,2,432000.0,15/10/2016,5.9
321,4,1640000.0,16/04/2016,5.9
322,6,1430000.0,16/04/2016,5.9
323,2,610000.0,16/04/2016,5.9
324,3,940000.0,16/04/2016,5.9
325,3,890000.0,16/07/2016,5.9
326,3,1180000.0,17/09/2016,5.9
327,4,1480000.0,17/09/2016,5.9
328,2,1150000.0,18/03/2017,5.9
329,3,1350000.0,18/03/2017,5.9
330,5,1905000.0,18/03/2017,5.9
331,2,865000.0,18/03/2017,5.9
332,2,705000.0,18/06/2016,5.9
333,2,442000.0,18/06/2016,5.9
334,2,540000.0,19/11/2016,5.9
335,3,1037500.0,19/11/2016,5.9
336,3,1050000.0,19/11/2016,5.9
337,2,440000.0,19/11/2016,5.9
338,2,1010000.0,19/11/2016,5.9
339,4,1430000.0,22/05/2016,5.9
340,2,570000.0,22/05/2016,5.9
341,2,690000.0,22/05/2016,5.9
342,3,1291000.0,23/04/2016,5.9
343,3,1130000.0,23/04/2016,5.9
344,3,1135000.0,24/09/2016,5.9
345,4,950000.0,24/09/2016,5.9
346,3,790000.0,24/09/2016,5.9
347,2,390000.0,25/02/2017,5.9
348,4,1345000.0,25/02/2017,5.9
349,3,1381500.0,25/02/2017,5.9
350,3,940000.0,26/07/2016,5.9
351,3,995000.0,26/07/2016,5.9
352,3,1050000.0,26/07/2016,5.9
353,3,786000.0,26/07/2016,5.9
354,2,705000.0,27/06/2016,5.9
355,2,760000.0,27/06/2016,5.9
356,3,487500.0,27/06/2016,5.9
357,3,1000000.0,27/11/2016,5.9
358,4,1110000.0,27/11/2016,5.9
359,4,1300000.0,27/11/2016,5.9
360,3,1060000.0,27/11/2016,5.9
361,3,1410000.0,27/11/2016,5.9
362,3,1305000.0,28/05/2016,5.9
363,3,932500.0,28/05/2016,5.9
364,3,965000.0,28/08/2016,5.9
365,3,1215000.0,28/08/2016,5.9
366,2,545000.0,28/08/2016,5.9
367,4,1705000.0,30/07/2016,5.9
368,3,970000.0,30/07/2016,5.9
369,2,925000.0,30/07/2016,5.9
370,4,2650000.0,3/09/2016,11.0
371,3,1670000.0,3/12/2016,11.0
372,3,955000.0,3/12/2016,11.0
373,3,2050000.0,3/12/2016,11.0
374,2,500000.0,4/03/2017,11.0
375,2,1575000.0,4/03/2017,11.0
376,3,1555000.0,4/06/2016,11.0
377,3,1100000.0,8/10/2016,11.0
378,3,1337000.0,8/10/2016,11.0
379,8,2950000.0,10/09/2016,11.0
380,4,2215000.0,10/09/2016,11.0
381,3,1518000.0,10/09/2016,11.0
382,3,1710000.0,10/12/2016,11.0
383,3,1655000.0,10/12/2016,11.0
384,4,1550000.0,12/11/2016,11.0
385,3,1662000.0,14/05/2016,11.0
386,3,1665000.0,15/10/2016,11.0
387,2,1445000.0,16/04/2016,11.0
388,5,3510000.0,18/03/2017,11.0
389,3,968000.0,18/06/2016,11.0
390,3,900000.0,19/11/2016,11.0
391,3,1500000.0,22/05/2016,11.0
392,5,2752000.0,22/08/2016,11.0
393,3,1500000.0,22/08/2016,11.0
394,4,1800000.0,25/02/2017,11.0
395,3,1830000.0,25/02/2017,11.0
396,3,1415000.0,27/06/2016,11.0
397,2,1440000.0,27/06/2016,11.0
398,4,1250000.0,27/11/2016,11.0
399,3,1422000.0,27/11/2016,11.0
400,5,1600000.0,27/11/2016,11.0
401,4,1860000.0,27/11/2016,11.0
402,3,1710000.0,27/11/2016,11.0
403,4,1790000.0,28/05/2016,11.0
404,4,1950000.0,28/05/2016,11.0
405,3,1600000.0,28/05/2016,11.0
406,3,1320000.0,28/08/2016,11.0
407,3,1650000.0,28/08/2016,11.0
408,2,995000.0,3/09/2016,12.2
409,3,1250000.0,3/12/2016,12.2
410,3,1045000.0,4/03/2017,12.2
411,4,1200000.0,4/03/2017,12.2
412,2,1075000.0,4/06/2016,12.2
413,4,1500000.0,6/08/2016,12.2
414,3,1120000.0,7/05/2016,12.2
415,2,700000.0,7/11/2016,12.2
416,3,761000.0,7/11/2016,12.2
417,4,1270000.0,8/10/2016,12.2
418,4,1510000.0,8/10/2016,12.2
419,3,1365000.0,10/09/2016,12.2
420,4,1100000.0,10/12/2016,12.2
421,4,1415000.0,13/08/2016,12.2
422,2,690000.0,14/05/2016,12.2
423,3,1631000.0,15/10/2016,12.2
424,4,1500000.0,15/10/2016,12.2
425,3,1060000.0,16/07/2016,12.2
426,5,1529500.0,17/09/2016,12.2
427,2,600000.0,18/03/2017,12.2
428,2,535000.0,18/06/2016,12.2
429,3,785000.0,19/11/2016,12.2
430,4,1240000.0,19/11/2016,12.2
431,2,700000.0,22/08/2016,12.2
432,4,1350000.0,24/09/2016,12.2
433,2,1110000.0,24/09/2016,12.2
434,3,1305000.0,25/02/2017,12.2
435,3,855000.0,25/02/2017,12.2
436,3,900500.0,27/11/2016,12.2
437,3,1200000.0,28/05/2016,12.2
438,3,830000.0,28/08/2016,12.2
439,3,850000.0,3/09/2016,10.5
440,3,750000.0,3/09/2016,10.5
441,3,851000.0,3/12/2016,10.5
442,3,848000.0,4/03/2017,10.5
443,4,806000.0,4/03/2017,10.5
444,4,1155000.0,4/06/2016,10.5
445,3,670000.0,4/06/2016,10.5
446,4,1200000.0,4/06/2016,10.5
447,3,636000.0,4/06/2016,10.5
448,3,680000.0,6/08/2016,10.5
449,4,1160000.0,7/05/2016,10.5
450,3,750000.0,8/10/2016,10.5
451,3,627500.0,8/10/2016,10.5
452,3,880000.0,8/10/2016,10.5
453,4,950000.0,10/12/2016,10.5
454,4,1600000.0,10/12/2016,10.5
455,2,585000.0,11/02/2017,10.5
456,3,650000.0,15/10/2016,10.5
457,3,725000.0,15/10/2016,10.5
458,3,665000.0,16/04/2016,10.5
459,3,560500.0,16/04/2016,10.5
460,3,615000.0,16/07/2016,10.5
461,3,845000.0,16/07/2016,10.5
462,3,585000.0,17/09/2016,10.5
463,2,440000.0,18/03/2017,10.5
464,3,850000.0,18/03/2017,10.5
465,5,850000.0,18/06/2016,10.5
466,3,705000.0,22/05/2016,10.5
467,4,1100000.0,22/05/2016,10.5
468,3,892500.0,22/05/2016,10.5
469,3,695000.0,23/04/2016,10.5
470,2,522500.0,24/09/2016,10.5
471,4,680000.0,24/09/2016,10.5
472,3,500000.0,24/09/2016,10.5
473,2,550000.0,24/09/2016,10.5
474,3,730000.0,25/02/2017,10.5
475,3,875000.0,25/02/2017,10.5
476,3,850000.0,25/02/2017,10.5
477,3,635000.0,26/07/2016,10.5
478,4,762000.0,26/07/2016,10.5
479,2,411000.0,27/11/2016,10.5
480,4,790000.0,27/11/2016,10.5
481,4,605000.0,27/11/2016,10.5
482,3,805000.0,27/11/2016,10.5
483,4,890000.0,27/11/2016,10.5
484,3,795000.0,28/05/2016,10.5
485,3,634000.0,28/05/2016,10.5
486,3,642000.0,28/08/2016,10.5
487,3,863000.0,28/08/2016,10.5
488,3,740000.0,28/08/2016,10.5
489,4,1819000.0,3/09/2016,6.6
490,2,410000.0,3/12/2016,6.6
491,1,280000.0,7/05/2016,6.6
492,2,1015000.0,7/11/2016,6.6
493,2,502500.0,15/10/2016,6.6
494,2,520000.0,15/10/2016,6.6
495,2,442000.0,17/09/2016,6.6
496,3,1193000.0,18/06/2016,6.6
497,2,416000.0,18/06/2016,6.6
498,2,820000.0,19/11/2016,6.6
499,2,474000.0,22/05/2016,6.6
500,2,981000.0,25/02/2017,6.6
501,3,1690000.0,25/02/2017,6.6
502,2,540000.0,27/06/2016,6.6
503,3,1080000.0,27/06/2016,6.6
504,1,500000.0,27/11/2016,6.6
505,2,497500.0,28/08/2016,6.6
506,2,2100000.0,3/09/2016,9.7
507,4,1800000.0,3/09/2016,9.7
508,2,1255000.0,3/09/2016,9.7
509,3,1070000.0,3/12/2016,9.7
510,5,2570000.0,3/12/2016,9.7
511,4,2400000.0,3/12/2016,9.7
512,3,2200000.0,3/12/2016,9.7
513,5,3250000.0,3/12/2016,9.7
514,2,806000.0,3/12/2016,9.7
515,6,4000000.0,3/12/2016,9.7
516,2,1215000.0,3/12/2016,9.7
517,5,2250000.0,3/12/2016,9.7
518,2,812000.0,4/03/2017,9.7
519,3,1140000.0,4/06/2016,9.7
520,3,2330000.0,4/06/2016,9.7
521,5,2800000.0,4/06/2016,9.7
522,2,605000.0,4/06/2016,9.7
523,3,1255000.0,4/06/2016,9.7
524,2,1850000.0,6/08/2016,9.7
525,2,805000.0,6/08/2016,9.7
526,3,700000.0,7/05/2016,9.7
527,4,2130000.0,7/05/2016,9.7
528,2,500000.0,7/05/2016,9.7
529,3,2125000.0,7/05/2016,9.7
530,4,1800000.0,8/10/2016,9.7
531,2,635000.0,8/10/2016,9.7
532,2,526000.0,10/09/2016,9.7
533,1,390000.0,10/09/2016,9.7
534,3,905000.0,10/12/2016,9.7
535,4,1750000.0,10/12/2016,9.7
536,2,760000.0,10/12/2016,9.7
537,4,3180000.0,10/12/2016,9.7
538,3,1367000.0,10/12/2016,9.7
539,5,3600000.0,10/12/2016,9.7
540,5,2550000.0,10/12/2016,9.7
541,4,1400000.0,12/11/2016,9.7
542,4,3270000.0,12/11/2016,9.7
543,2,625000.0,13/08/2016,9.7
544,2,700000.0,13/08/2016,9.7
545,3,1860000.0,14/05/2016,9.7
546,4,2730000.0,15/10/2016,9.7
547,5,2020000.0,16/04/2016,9.7
548,2,460000.0,16/04/2016,9.7
549,4,2250000.0,16/07/2016,9.7
550,2,1053000.0,16/07/2016,9.7
551,3,1800000.0,16/07/2016,9.7
552,3,1472000.0,16/07/2016,9.7
553,3,2120000.0,17/09/2016,9.7
554,3,1910000.0,17/09/2016,9.7
555,2,754000.0,18/03/2017,9.7
556,5,3000000.0,18/06/2016,9.7
557,5,3400000.0,18/06/2016,9.7
558,4,2188000.0,19/11/2016,9.7
559,2,755000.0,19/11/2016,9.7
560,4,2900000.0,22/05/2016,9.7
561,4,3290000.0,22/05/2016,9.7
562,5,2665000.0,22/08/2016,9.7
563,4,1801000.0,22/08/2016,9.7
564,4,2410000.0,24/09/2016,9.7
565,2,650000.0,24/09/2016,9.7
566,4,2275000.0,25/02/2017,9.7
567,5,2810000.0,25/02/2017,9.7
568,3,1385000.0,25/02/2017,9.7
569,4,2000000.0,27/06/2016,9.7
570,4,1900000.0,27/11/2016,9.7
571,3,3401000.0,27/11/2016,9.7
572,3,1750000.0,27/11/2016,9.7
573,5,4000000.0,27/11/2016,9.7
574,3,1100000.0,28/05/2016,9.7
575,5,3020000.0,28/05/2016,9.7
576,3,2950000.0,28/05/2016,9.7
577,5,2450000.0,28/05/2016,9.7
578,3,1912000.0,28/05/2016,9.7
579,2,730000.0,28/08/2016,9.7
580,5,3900000.0,28/08/2016,9.7
581,3,1500000.0,28/08/2016,9.7
582,3,1850000.0,28/08/2016,9.7
583,4,1700000.0,30/07/2016,9.7
584,2,1010000.0,30/07/2016,9.7
585,3,1315000.0,3/09/2016,9.2
586,3,1500000.0,3/09/2016,9.2
587,4,3230000.0,3/09/2016,9.2
588,2,1080000.0,3/09/2016,9.2
589,7,1350000.0,3/12/2016,9.2
590,4,1905000.0,3/12/2016,9.2
591,5,3300000.0,3/12/2016,9.2
592,4,1900000.0,3/12/2016,9.2
593,3,2251000.0,3/12/2016,9.2
594,4,2205000.0,3/12/2016,9.2
595,3,1265000.0,3/12/2016,9.2
596,3,2000000.0,4/03/2017,9.2
597,4,1750000.0,4/03/2017,9.2
598,3,1450000.0,4/03/2017,9.2
599,4,2614000.0,4/03/2017,9.2
600,4,1825000.0,4/03/2017,9.2
601,4,2550000.0,4/03/2017,9.2
602,4,1570000.0,4/06/2016,9.2
603,5,3250000.0,6/08/2016,9.2
604,4,1750000.0,6/08/2016,9.2
605,3,1150000.0,6/08/2016,9.2
606,3,1575000.0,6/08/2016,9.2
607,6,1505000.0,7/05/2016,9.2
608,4,1572000.0,7/05/2016,9.2
609,4,1500000.0,7/05/2016,9.2
610,4,1400000.0,7/05/2016,9.2
611,5,1750000.0,7/11/2016,9.2
612,4,1850000.0,7/11/2016,9.2
613,3,1480000.0,7/11/2016,9.2
614,4,1400000.0,8/10/2016,9.2
615,4,2130000.0,8/10/2016,9.2
616,3,1050000.0,8/10/2016,9.2
617,5,3690000.0,8/10/2016,9.2
618,4,1740000.0,10/09/2016,9.2
619,4,2575000.0,10/09/2016,9.2
620,4,1388800.0,10/09/2016,9.2
621,4,1702000.0,10/12/2016,9.2
622,4,1800000.0,10/12/2016,9.2
623,4,2910000.0,10/12/2016,9.2
624,2,1400000.0,10/12/2016,9.2
625,2,860000.0,10/12/2016,9.2
626,4,1670000.0,11/03/2017,9.2
627,5,1500000.0,12/06/2016,9.2
628,5,2200000.0,12/06/2016,9.2
629,4,1350000.0,12/11/2016,9.2
630,5,2070000.0,12/11/2016,9.2
631,3,1300000.0,12/11/2016,9.2
632,3,1700000.0,13/08/2016,9.2
633,3,1750000.0,13/08/2016,9.2
634,3,980000.0,14/05/2016,9.2
635,3,1230000.0,14/05/2016,9.2
636,7,2600000.0,14/05/2016,9.2
637,4,1950000.0,14/05/2016,9.2
638,5,1750000.0,15/10/2016,9.2
639,5,2000000.0,15/10/2016,9.2
640,3,1480000.0,15/10/2016,9.2
641,4,3000000.0,15/10/2016,9.2
642,3,1818000.0,15/10/2016,9.2
643,4,2170000.0,16/04/2016,9.2
644,4,2525000.0,16/04/2016,9.2
645,4,3360000.0,16/04/2016,9.2
646,4,1620000.0,16/07/2016,9.2
647,3,1903000.0,16/07/2016,9.2
648,4,1712000.0,17/09/2016,9.2
649,4,1720000.0,18/03/2017,9.2
650,4,1670000.0,18/03/2017,9.2
651,2,1350000.0,18/03/2017,9.2
652,4,1675000.0,18/03/2017,9.2
653,4,1680000.0,18/03/2017,9.2
654,3,1800000.0,18/06/2016,9.2
655,4,1550000.0,18/06/2016,9.2
656,5,4000000.0,18/06/2016,9.2
657,3,2900000.0,18/06/2016,9.2
658,4,2205000.0,19/11/2016,9.2
659,3,1137000.0,19/11/2016,9.2
660,3,2100000.0,19/11/2016,9.2
661,2,1389000.0,22/05/2016,9.2
662,2,685000.0,22/05/2016,9.2
663,6,1900000.0,22/05/2016,9.2
664,3,1335000.0,22/05/2016,9.2
665,3,1600000.0,22/08/2016,9.2
666,3,1830000.0,22/08/2016,9.2
667,4,1900000.0,22/08/2016,9.2
668,5,1500000.0,23/04/2016,9.2
669,2,735000.0,23/04/2016,9.2
670,2,1040000.0,24/09/2016,9.2
671,3,1520000.0,25/02/2017,9.2
672,4,1250000.0,25/02/2017,9.2
673,6,1900000.0,25/02/2017,9.2
674,5,1875000.0,27/06/2016,9.2
675,4,1530000.0,27/06/2016,9.2
676,4,1700000.0,27/06/2016,9.2
677,3,1238000.0,27/11/2016,9.2
678,3,1320000.0,27/11/2016,9.2
