,S.N.,Question,Option A,b,c,d,correct
81,82,"For detecting abnormal behavior of brain, technique used is",EEG,,,,
82,83,ERG used for activity of an eye is an abbreviation of,Eyeretinography,,,,
83,84,Unit of voltage (v) is equivalent to unit,J C-1,,,,
84,85,Shark's organ for detection of electric field is named as,Amplitude of lorenzini,,,,
85,86,Transformer is being used in,Dc circuit,,,,
86,87,Emf produced in conductor is known as,Emf,,,,
87,88,"A metallic ring is attached to wall of a room. when north pole of magnet is brought near ring, induced current in ring is",Zero,,,,
88,89,"A helium nucleus enters perpendicularly in magnetic field 'b' with velocity 'v', then magnetic force acting on it will be",2 bev,,,,
89,90,Lenz's law is in accordance with law of conservation of,Energy,,,,
90,91,Value of 1 ev is equivalent to value of,1.8x10⁻¹⁹ j,,,,
91,92,"If charged particle of 2e falls at potential difference of 6 v, then energy required to fall will be",19 j,,,,
92,93,"In a transistor, emitter current is",Slightly more than collector,,,,
93,94,A simple diode can be used as,Rectifier,,,,
94,95,"Current flowing into base of transistor is 100 µa and current gain is 100 µa, its collector current will be",10 ma,,,,
95,96,Least doped region in a transistor is,Emitter,,,,
96,97,Device named as a transistor has,Emitter and collector equally doped,,,,
97,98,At position of (4i + 3j) by a point charge 5x10⁻⁶ c placed at origin will produce electric field of,1240i + 1180j,,,,
98,99,Two point charges -1x10⁻⁶ c and 4x10⁻⁶ c separated by 3 m distance have zero field location of,1 m,,,,
99,100,Product of resistance of 1 Ω and capacitance of 1 farad is equal to,One minute,,,,
100,10¹,"According to equation of continuity, when water falls its speed increases, while its cross sectional area",Increases,,,,
101,102,Simplified equation of continuity is represented as,A₁V₁ = A₂V₂,,,,
102,103,"If fluid is incompressible and is steady, its mass is",Increasing,,,,
103,104,Constant of equation of continuity is known as,Flow rate,,,,
104,105,Density of water is equal to,900 kg m⁻³,,,,
105,106,Errors that occur during measurement of quantities are of,2 types,,,,
106,107,Prefix named as femto has a factor of,10⁻¹2,,,,
107,108,Systematic error occurred due to poor calibration of instrument that can be corrected by,Taking several readings,,,,
108,109,Error that occurs due to equally affected measurements is called,Random error,,,,
109,110,Error that occurs during measurement of quantities is,Random error,,,,
110,111,"If layers of fluid have frictional force between them, then it is known as",Viscous,,,,
111,112,"If every particle of fluid has irregular flow, then flow is said to be",Laminar flow,,,,
112,113,"If every particle of fluid follows same path, then flow is said to be",Laminar flow,,,,
113,114,A racing car has a body with,Laminated design,,,,
114,115,Force due to water flow is represented by formula,F = (-m/t)v,,,,
115,116,"For gauss's law, point charges in closed surface must be distributed",Arbitrarily,,,,
116,117,Gauss's law due to different charge distribution is used to calculate,Electric field,,,,
117,118,Law stated as flux is 1/Eo times total charge is,Ohms law,,,,
118,119,A geo-stationary satellite orbiting around earth is used for,National communication,,,,
119,120,Orbital motion of geo-stationary satellite with respect to motion of earth is,Asynchronized,,,,
120,121,Artificial satellites are objects that orbit around earth due to,Earths mass,,,,
121,122,Geo-stationary satellites are also known as the,Geo-asynchronous satellites,,,,
122,123,A geo-stationary satellite orbits around earth once,Per month,,,,
123,124,Self-induced emf is sometimes also known as,Induced emf,,,,
124,125,"Changing current in one coil induces emf in another, this phenomena is known as",Emf,,,,
125,126,Negative sign of equation of self-induction shows that,Deduce emf,,,,
126,127,Changing current in a coil produces emf in same coil. this phenomenon is known as,Mutual induction,,,,
127,128,Units given by system international for measuring physical quantities are called,IS units,,,,
128,129,"According to system international, amount of substance is measured in",Moles,,,,
129,130,Base units of physical quantities given by system international are,Six,,,,
130,131,System international for describing units was built up from,2 kind of units,,,,
131,132,"According to system international, length of substance is measured in",Moles,,,,
132,133,Main frontiers of fundamental science are,Two,,,,
133,134,Branch of science that deals with natural phenomena is called,Physics,,,,
134,135,This whole world is composed of small particles that are made up of,Electrons,,,,
135,136,Branch of science dealing with matter and energy and their relationship is called,Physics,,,,
136,137,Branch of physics that deals with study and properties of solids is called,Nuclear physics,,,,
137,138,Law of conservation of angular momentum is mostly used in,Diving,,,,
138,139,"""if no external torque is applied on a body, total angular momentum remains constant"" stated law is called",Law of conservation of angular velocity,,,,
139,140,Point of intersection of two coordinate axes is called,Mid,,,,
140,141,Position vector is vector that defines vector's,Angle,,,,
141,142,Vector quantities having directions are denoted by,A,,,,
142,143,Decomposing vectors into mutually perpendicular components is called,Rectangular components,,,,
143,144,Product of mass and velocity is known as,Impulse,,,,
144,145,Time rate of change of momentum of a body is equal to,Displacement,,,,
145,146,Throwing a package onto shore from a boat at rest will cause boat to move,Inward from shore,,,,
146,147,Product of force and time is known as,Impulse,,,,
147,148,Our hair on our skull act like a,Crumple zone,,,,
148,149,"In defining orbital velocity of satellite, thing which is unimportant is",Mass of satellite,,,,
149,150,First human satellite of earth was man named as,Bruce mccandless,,,,
150,151,Ideal standard for measuring base quantities involves characteristics that are,Accessible,,,,
151,152,A physical quantity is,Weight,,,,
152,153,Base quantities can be measured according to the,Selected standards,,,,
153,154,One of physical quantities which is not a derived quantity,Velocity,,,,
154,155,Ideal standard for measuring base quantities mainly involves,2 characteristics,,,,
155,156,Researches of studying nature and type of forces that hold things together are dealt by,Physics,,,,
156,157,Branch of physics that deals with properties and behavior of elementary particles is called,Relativity,,,,
157,158,Computer which is a product of chips has been developed from basic idea of,Physics,,,,
158,159,"""physics is branch of science"" name physics means",Matter,,,,
159,160,Branch of physics that deals with nuclear energies is called,Nuclear physics,,,,
160,161,"F = ma, this equation is referred to as newton's",Second law,,,,
161,162,"If a body has 200 kg mass and its velocity gets reduced from 25 m s⁻¹ to 20 m s⁻¹ in 4 seconds, average retarding force on a body will be",-200 n,,,,
162,163,"If a body moving with initial, constant velocity of 10 m s⁻¹, accelerates for 2 seconds at a constant rate of 12 m s-2, final velocity of body will be",30 m s⁻¹,,,,
163,164,Average angular velocity of a body rotating at angle of 30° for 5 seconds will be,6 rad s⁻¹,,,,
164,165,"If body accelerates from rest to angular velocity of 45 revolutions/min in a time of 1.6 seconds, its angular acceleration will be",6.6x10⁻⁹ rad,,,,
165,166,Power of machine when work done is 30 j in a time interval 5 seconds will be,120 w,,,,
166,167,"Body having weight 50 kg turning in a circle at 5 m s⁻¹, if radius of circle is 5 m, force exerted on body to hold it in circular path is",200 n,,,,
167,168,"A car of 200 kg is moving in a circle of radius 4.3 m with angular velocity of 2 rad s⁻¹, it's angular momentum will be",3.3x10³,,,,
168,169,"If motor gets over loaded, then its",Slows down,,,,
169,170,"With alternative current, inductor behaves like",Resistor,,,,
170,171,"A metal rod of 25 cm is moving at 0.5 m s⁻¹ in direction perpendicular to 0.25 t magnetic field, emf produced is",0.12x10⁻² v,,,,
171,172,"Law that states that direction of induced current is always as to oppose change which causes current, is",Faradays law,,,,
172,173,While grasping wire in right hand with thumb pointing to direction of current is known as,Right hand rule,,,,
173,174,A man of mass 30 kilograms climbs stairs of height 5 meters in 4 seconds. power output produced will be,367.5 w,,,,
174,175,"If a brick having mass 2 kg is dropped from height of 5 m, its velocity at a height of 3 m will be",5 m s⁻¹,,,,
175,176,10 bricks each having mass of 1.5 kg with thickness of 6 cm will have work done to stack bricks,9 j,,,,
176,177,2 kg ball moving with velocity of 5 m s⁻¹ collides with 4 kg ball at rest. velocities of both balls after collision will be,2.66 and 3.33,,,,
177,178,"A ball is thrown from height of 10m with velocity 21 m s⁻¹, it will hit ground at",30 m s⁻¹,,,,
178,179,Electro motive force induced by motion of conductor across magnetic field is called,Emf,,,,
179,180,"Magnetic field is 0.6t and rate of change of area is 0.8 m²/s when n=1, induced emf would be",0.48v,,,,
180,181,SI unit of magnetic induction is,N c-1,,,,
181,182,Magnetic field is set up in region surrounding current carrying,Rod,,,,
182,183,If a current carrying conductor is placed in uniform magnetic field parallel to direction of field then force experienced by conductor will be,Ilbxcosɵ,,,,
183,184,Vector product of two vectors is also known as,Scalar product,,,,
184,185,Multiplication of two vectors is of,2 types,,,,
185,186,Cross product of axb with sin(0) would produce results equal to,A.b,,,,
186,187,Scalar product of a.b with angle 180° would produce results equal to,A.b,,,,
187,188,Height of projectile is given by formula,2as = vf² - vi²,,,,
188,189,Time of flight of body is given by formula,T = 2vix(sin/g),,,,
189,190,A typical rocket consumes fuel on amount of,8000 kg s⁻¹,,,,
190,191,Typical rocket ejects burnt gases at speeds of over,2000 m s⁻¹,,,,
191,192,"As body rolls down, its gravitational energy changes to",Rotational kinetic energy,,,,
192,193,Rotational kinetic energy of disc is given by,1/4(mv²),,,,
193,194,Rotational kinetic energy of hoop is,1/4(mv²),,,,
194,195,Wheel will have both rotational and translational kinetic energies when it,Stops,,,,
195,196,"According to si units, mass of a substance is measured in",Moles,,,,
196,197,Derived units of physical quantities given by si are,Five,,,,
197,198,Ampere unit according to si units is a,Base unit,,,,
198,199,Angle between two radii of circle that cut off on circumference is called,Radian,,,,
199,200,"""candela"", according to system international is a",Base unit,,,,
200,201,Zero digit between two significant figures is,Significant,,,,
201,202,"In figure '12.7', first two digits are accurate while third one is",Accurate,,,,
202,203,Number of digits that are reasonably sure are called,Limitation of instruments,,,,
203,204,"After decimal point, number is less than 5 which is to be neglected,then retained number",Gets increased,,,,
204,205,Accurately known digits and first doubtful digit are called,Limitation of instruments,,,,
205,206,Two forces 10 n and 20 n making an angle 30° and 60° will give a resultant force of,15 n,,,,
206,207,Dimensions of coefficient of viscosity is,Ml⁻¹t⁻¹,,,,
207,208,Unit vector in direction of vector f = 6i + 5j is,(6i + 5j)/7.81,,,,
208,209,Net force acting on a droplet of water is equal to,Weight - drag force,,,,
209,210,"When net force acting on a droplet becomes zero, its constant speed is known as",Viscosity,,,,
210,211,"When net force acting on a droplet becomes zero, it falls with",Increasing speed,,,,
211,212,Dimensions of rate of change of flux are equivalent to those of,Voltage,,,,
212,213,Turn ratio (r) for a step-up transformer is,R = 0,,,,
213,214,Practical application of mutual induction is,Transformer,,,,
214,215,Transformer is device that works on principle of,Self-induction,,,,
215,216,Efficiency of transformer is defined as,(output power/input power)x100,,,,
216,217,A transistor can be used as a switch on if vce is nearly,1 v,,,,
217,218,Base of transistor has a thickness of,10⁻⁶ m,,,,
218,219,Photo diodes' applications include the,Logic circuits,,,,
219,220,Prefix naming as centi has a factor of,10²,,,,
220,221,Zero error produced by measuring instruments is called,Frequent error,,,,
221,222,Prefix known as mega has a symbol,M,,,,
222,223,Repeated measurement having different values are the,Random error,,,,
223,224,Uncertainty of measurement can occur due to the,Limitation of instruments,,,,
224,225,"At surface of earth where air friction is negligible, objects fall with the",Different acceleration,,,,
225,226,"From equations of distance, correct one is",Vf = vi + 2as,,,,
226,227,Correct equation of distance is,Vi = vf + at,,,,
227,228,Velocity of vertically thrown ball with time will be,Upwards positive,,,,
228,229,Direction of resultant of two vectors is given by,Cos⁻¹(ay + by/ax + bx),,,,
229,230,Vector's x-components are represented by formula of,Ax + bx,,,,
230,231,Y-components of vectors are represented by formula of,Ay + by,,,,
231,232,X-components of vectors are represented by the,Subtraction of x-components,,,,
232,233,Resultant magnitude of two vectors is given by formula,√((ax + bx)² + (ay + by)²),,,,
233,234,Product of velocity and mass is called,Momentum,,,,
234,235,"In a plane, direction of vectors is denoted by",Line,,,,
235,236,Projection of vector a in direction of x-axis is represented by angle of,Cos,,,,
236,237,Vector sum of two vectors holds the,Multiplicative property,,,,
237,238,"If a vector gets multiplied by a negative number, then its direction",Remain same,,,,
238,239,A vector having 'magnitude only' is called,Scalar,,,,
239,240,"If two vectors have same magnitude and are parallel to each other, then they are said to be",Same,,,,
240,241,Physical quantities having magnitude only are called,Vector quantities,,,,
241,242,"If a vector gets multiplied by a positive number, its direction",Remain same,,,,
242,243,Vector whose magnitude is zero has a,Positive direction,,,,
243,244,Addition of vector with its reversed direction is called,Vector addition,,,,
244,245,Graphical representation of vectors is a directed line segment with,Direction,,,,
245,246,Vector sum of two vectors is also called,Direction,,,,
246,247,System of coordinate axes with origin is called,Cartesian,,,,
247,248,Position vector that defines position of vector in three dimensions having formula of,√(a² + b² + c²),,,,
248,249,"If 'd' is displacement of body in time 't', then average velocity will be represented as",Vavg = (d/t),,,,
249,250,Time rate of change of displacement is known as,Displacement,,,,
250,251,Graph illustrating velocity of object with time is called,Velocity-speed graph,,,,
251,252,Average acceleration of a body during time interval 't' is given by slope of its,Velocity-speed graph,,,,
252,253,Area-under-graph in a velocity time graph tells us the,Displacement,,,,
253,254,Area under velocity-time graph is equal to the,1/2(vxt),,,,
254,255,Frictional effect between layers of flowing fluid is known as,Viscosity,,,,
255,256,Force required to slide one layer from another measures the,Viscosity,,,,
256,257,An object moving through liquid facing retarding force is named as,Viscosity,,,,
257,258,Everything in freely falling system appears to be,Massive,,,,
258,259,"When velocity of elevator changes, apparent weight from true weight",Increases,,,,
259,260,To hold an object from falling in satellite frame of reference requires,Small force,,,,
260,261,Space in which gravitational force acts on a body is known as,Gravitational field,,,,
261,262,"In phenomenon of work done by variable force, forces",Remain constant,,,,
262,263,"When angle is equal to zero, work will be",Positive,,,,
263,264,"When an object is moved in gravitational field, it is",Work done by a constant force,,,,
264,265,System international unit of work done is newton meter which is known as,Joule,,,,
265,266,"If angle of work done is less than 90°, then work will be",Negative,,,,
266,267,Product of force and displacement is known as,Distance,,,,
